@relation 'GenevaExtended_2014_Acoustic_Parameters_Functionals_over_full_input: -C 0'

@attribute name string
@attribute F0semitoneFrom27.5Hz_sma3nz_amean numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevNorm numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile20.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile50.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile80.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope numeric
@attribute F0linearHz_sma3nz_amean numeric
@attribute F0linearHz_sma3nz_stddevNorm numeric
@attribute F0linearHz_sma3nz_percentile20.0 numeric
@attribute F0linearHz_sma3nz_percentile50.0 numeric
@attribute F0linearHz_sma3nz_percentile80.0 numeric
@attribute F0linearHz_sma3nz_pctlrange0-2 numeric
@attribute F0linearHz_sma3nz_meanRisingSlope numeric
@attribute F0linearHz_sma3nz_stddevRisingSlope numeric
@attribute F0linearHz_sma3nz_meanFallingSlope numeric
@attribute F0linearHz_sma3nz_stddevFallingSlope numeric
@attribute loudness_sma3_amean numeric
@attribute loudness_sma3_stddevNorm numeric
@attribute loudness_sma3_percentile20.0 numeric
@attribute loudness_sma3_percentile50.0 numeric
@attribute loudness_sma3_percentile80.0 numeric
@attribute loudness_sma3_pctlrange0-2 numeric
@attribute loudness_sma3_meanRisingSlope numeric
@attribute loudness_sma3_stddevRisingSlope numeric
@attribute loudness_sma3_meanFallingSlope numeric
@attribute loudness_sma3_stddevFallingSlope numeric
@attribute spectralFlux_sma3_amean numeric
@attribute spectralFlux_sma3_stddevNorm numeric
@attribute mfcc1_sma3_amean numeric
@attribute mfcc1_sma3_stddevNorm numeric
@attribute mfcc2_sma3_amean numeric
@attribute mfcc2_sma3_stddevNorm numeric
@attribute mfcc3_sma3_amean numeric
@attribute mfcc3_sma3_stddevNorm numeric
@attribute mfcc4_sma3_amean numeric
@attribute mfcc4_sma3_stddevNorm numeric
@attribute jitterLocal_sma3nz_amean numeric
@attribute jitterLocal_sma3nz_stddevNorm numeric
@attribute shimmerLocaldB_sma3nz_amean numeric
@attribute shimmerLocaldB_sma3nz_stddevNorm numeric
@attribute HNRdBACF_sma3nz_amean numeric
@attribute HNRdBACF_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-H2_sma3nz_amean numeric
@attribute logRelF0-H1-H2_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-A3_sma3nz_amean numeric
@attribute logRelF0-H1-A3_sma3nz_stddevNorm numeric
@attribute F1frequency_sma3nz_amean numeric
@attribute F1frequency_sma3nz_stddevNorm numeric
@attribute F1bandwidth_sma3nz_amean numeric
@attribute F1bandwidth_sma3nz_stddevNorm numeric
@attribute F1amplitudeLogRelF0_sma3nz_amean numeric
@attribute F1amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F2frequency_sma3nz_amean numeric
@attribute F2frequency_sma3nz_stddevNorm numeric
@attribute F2bandwidth_sma3nz_amean numeric
@attribute F2bandwidth_sma3nz_stddevNorm numeric
@attribute F2amplitudeLogRelF0_sma3nz_amean numeric
@attribute F2amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F3frequency_sma3nz_amean numeric
@attribute F3frequency_sma3nz_stddevNorm numeric
@attribute F3bandwidth_sma3nz_amean numeric
@attribute F3bandwidth_sma3nz_stddevNorm numeric
@attribute F3amplitudeLogRelF0_sma3nz_amean numeric
@attribute F3amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute alphaRatioV_sma3nz_amean numeric
@attribute alphaRatioV_sma3nz_stddevNorm numeric
@attribute hammarbergIndexV_sma3nz_amean numeric
@attribute hammarbergIndexV_sma3nz_stddevNorm numeric
@attribute slopeV0-500_sma3nz_amean numeric
@attribute slopeV0-500_sma3nz_stddevNorm numeric
@attribute slopeV500-1500_sma3nz_amean numeric
@attribute slopeV500-1500_sma3nz_stddevNorm numeric
@attribute spectralFluxV_sma3nz_amean numeric
@attribute spectralFluxV_sma3nz_stddevNorm numeric
@attribute mfcc1V_sma3nz_amean numeric
@attribute mfcc1V_sma3nz_stddevNorm numeric
@attribute mfcc2V_sma3nz_amean numeric
@attribute mfcc2V_sma3nz_stddevNorm numeric
@attribute mfcc3V_sma3nz_amean numeric
@attribute mfcc3V_sma3nz_stddevNorm numeric
@attribute mfcc4V_sma3nz_amean numeric
@attribute mfcc4V_sma3nz_stddevNorm numeric
@attribute alphaRatioUV_sma3nz_amean numeric
@attribute hammarbergIndexUV_sma3nz_amean numeric
@attribute slopeUV0-500_sma3nz_amean numeric
@attribute slopeUV500-1500_sma3nz_amean numeric
@attribute spectralFluxUV_sma3nz_amean numeric
@attribute mfcc1UV_sma3nz_amean numeric
@attribute mfcc2UV_sma3nz_amean numeric
@attribute mfcc3UV_sma3nz_amean numeric
@attribute mfcc4UV_sma3nz_amean numeric
@attribute loudnessPeaksPerSec numeric
@attribute VoicedSegmentsPerSec numeric
@attribute MeanVoicedSegmentLengthSec numeric
@attribute StddevVoicedSegmentLengthSec numeric
@attribute MeanUnvoicedSegmentLength numeric
@attribute StddevUnvoicedSegmentLength numeric
@attribute equivalentSoundLevel_dBp numeric
@attribute Speaker_ID {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,207,208,210,211,212,213,214,215,216,217,218,219,220,222,223,224,225,226,227,228,229,230}
@attribute Gender {m,f}
@attribute Extraversion {E,NE}
@attribute Agreeableness {A,NA}
@attribute Conscientiousness {C,NC}
@attribute Neuroticism {N,NN}
@attribute Openness {O,NO}

@data
devel_049,26.05125,0.123891,23.18368,25.30402,29.36564,6.181965,91.26277,74.01722,48.82423,50.46517,126.1164,0.197881,104.9542,118.6299,149.9811,45.02682,712.7587,507.9777,365.925,381.3201,0.395333,0.684215,0.163438,0.330476,0.616756,0.453318,7.741148,4.426089,6.943419,3.498516,0.165,0.878731,16.9099,1.012945,11.89489,1.073849,5.118195,2.550256,-5.643305,-2.240788,0.045113,0.914965,1.483913,0.981176,5.333006,0.409518,5.363359,1.203447,28.67874,0.299858,497.3699,0.311644,1442.859,0.167473,-120.3058,-0.74742,1445.96,0.132784,1104.624,0.254662,-125.6503,-0.665545,2457.063,0.069326,871.8873,0.275494,-128.4448,-0.625757,-19.28941,-0.409886,28.60266,0.289432,0.024485,0.874654,-0.016774,-0.92986,0.241145,0.668176,29.02853,0.336757,14.37325,1.030454,4.680316,3.254725,-11.37558,-1.109535,-6.413359,13.60166,0.007775,0.006097,0.112441,8.390285,10.11835,5.392892,-1.51359,5.005005,3.118712,0.124839,0.106646,0.17,0.129132,-23.32593,183,m,E,A,C,NN,O
devel_050,29.64725,0.126242,28.2837,29.18491,32.59031,4.306612,59.06122,42.7379,334.2796,788.9819,155.5007,0.177506,140.883,148.421,180.6712,39.78822,584.2485,394.8889,2238.688,5331.417,0.503333,0.478298,0.281873,0.479237,0.710014,0.428141,7.645713,3.884032,6.592319,3.701739,0.228643,0.556416,16.16931,0.874591,19.32573,0.572608,6.238591,1.571927,-1.785137,-7.798082,0.026476,0.870925,1.408239,0.895823,6.938397,0.262231,9.21741,2.291451,26.54084,0.785899,555.9864,0.294145,1428.454,0.142764,-140.2416,-0.591439,1538.625,0.132741,1057.69,0.216245,-144.292,-0.528776,2546.558,0.063143,909.5168,0.276617,-145.4834,-0.51285,-18.18528,-0.33459,26.22279,0.289182,-0.007853,-2.889878,-0.012574,-1.163055,0.281244,0.51721,24.96276,0.347117,18.67201,0.697633,1.520152,8.152515,-6.92852,-2.266772,-11.77905,18.85113,-0.025542,0.00132,0.207099,12.05945,19.54696,8.496074,0.855073,6.406406,3.625378,0.078889,0.071871,0.176944,0.134119,-21.58364,192,f,NE,A,C,NN,NO
devel_051,26.38333,0.12637,23.68778,25.40686,29.8596,6.171822,32.42955,31.9588,23.94852,7.082585,128.7425,0.209616,108.0345,119.3138,154.3098,46.27531,237.3561,302.168,177.949,74.50179,0.498664,0.583231,0.251985,0.43903,0.763113,0.511128,7.683565,3.724063,6.144243,2.768015,0.180206,0.755782,10.28103,1.241358,0.002346,5553.116,-10.10098,-1.387523,-37.319,-0.412552,0.021464,0.890772,1.460302,0.920922,5.513859,0.49442,0.730681,9.075438,20.36006,0.420382,669.0247,0.341502,1432.566,0.233221,-104.7754,-0.979767,1644.644,0.159106,1090.284,0.310099,-109.1948,-0.886327,2552.187,0.0827,963.794,0.333727,-109.7382,-0.876886,-14.06911,-0.428496,21.40559,0.333569,0.095571,0.217333,-0.026669,-0.694731,0.236974,0.628968,17.74192,0.488268,-1.886804,-7.375689,-14.05719,-1.196537,-41.75703,-0.354259,-4.947821,10.6882,0.077847,-0.004284,0.132035,4.259433,1.646953,-6.909145,-33.591,5.072464,3.074671,0.135714,0.092044,0.169524,0.16436,-22.31531,173,m,E,A,C,NN,NO
devel_052,27.57966,0.110401,24.59505,27.97671,30.46526,5.870209,138.874,214.6954,28.43446,24.4863,137.3902,0.176887,113.8474,138.4082,159.8013,45.95396,1150.97,1791.418,232.1992,207.9014,0.452328,0.707096,0.159697,0.392291,0.687905,0.528208,8.083462,4.418555,6.828261,3.260883,0.16982,0.807876,13.38408,1.119959,12.96629,1.074978,-2.717253,-5.366521,-11.48262,-1.067042,0.026933,0.972785,1.369798,0.921023,6.060065,0.37233,6.683707,1.48589,25.98416,0.373643,619.8331,0.367412,1393.459,0.176602,-108.4815,-0.867301,1601.264,0.149606,1085.49,0.36552,-112.3811,-0.782455,2585.276,0.090097,911.4792,0.41878,-114.3164,-0.751246,-15.21444,-0.456488,23.99019,0.372911,0.054516,0.405039,-0.013689,-1.343045,0.2196,0.624221,20.75227,0.510795,13.71327,0.918466,-6.266047,-2.518856,-12.35593,-1.020777,-5.413293,12.57937,0.036849,0.003586,0.127496,6.534457,11.96598,0.139365,-10.5605,5.205205,3.232323,0.137188,0.100382,0.157419,0.121919,-22.59683,228,m,E,A,C,NN,NO
devel_053,31.66986,0.255376,23.77782,31.11969,38.63678,14.85896,654.0844,913.386,196.1441,232.4364,193.6882,0.560399,108.6044,167.6147,258.3094,149.7051,7391.833,12144.62,3170.451,4256.147,0.591159,0.609411,0.258485,0.498661,0.961114,0.70263,10.67653,4.845413,8.571592,4.751032,0.260703,0.844733,1.640604,5.995825,-12.41538,-0.983921,-15.23483,-0.972008,-33.83886,-0.404863,0.044715,1.52996,2.178826,0.59897,4.159011,0.438969,1.037286,10.43632,11.2891,0.70475,925.4963,0.192175,1399.856,0.288504,-165.402,-0.44011,1727.273,0.110119,1279.063,0.280019,-164.3919,-0.439466,2593.863,0.058079,943.7763,0.187046,-164.6021,-0.43602,-7.84788,-0.681753,16.38079,0.378862,0.10988,0.153753,-0.013824,-1.227188,0.379633,0.510449,4.766406,1.662575,-10.76066,-1.019301,-15.74745,-1.004042,-41.48816,-0.30057,-4.146451,12.6406,0.094791,-0.005282,0.234667,0.930541,-12.72054,-14.92213,-32.19912,5.305305,2.716298,0.056296,0.042352,0.291111,0.319738,-21.40784,212,m,E,NA,C,N,NO
devel_054,31.11487,0.090763,29.34056,30.45923,32.73981,3.39925,298.2595,510.1261,44.54945,69.28507,168.6253,0.218133,149.7552,159.7522,182.2389,32.48366,1063.532,1454.576,309.4939,370.5379,0.607879,0.539252,0.273045,0.542478,0.929092,0.656046,9.523677,3.688369,9.273447,3.94522,0.205726,0.703863,8.399727,0.890807,1.818148,5.302054,-5.160801,-2.852065,-19.01331,-0.745774,0.023972,0.93635,1.39909,0.71198,4.689859,0.476192,1.362904,5.647569,10.66923,0.653434,831.453,0.208138,1239.219,0.19779,-108.9444,-0.85438,1787.525,0.114174,1148.512,0.262356,-109.6327,-0.819143,2581.141,0.0651,1048.952,0.262611,-109.0676,-0.828245,-6.088784,-0.870763,11.9832,0.486207,0.061045,0.34877,-0.020457,-0.918873,0.277313,0.542705,9.380976,0.774532,-1.787576,-5.735182,-11.46385,-1.422417,-24.15096,-0.570706,-4.672267,10.07758,0.034215,-0.004701,0.145504,7.637168,4.933276,0.259739,-14.28255,5.505506,4.431017,0.095682,0.056625,0.117805,0.088415,-23.66193,220,m,E,NA,C,N,O
devel_055,26.49473,0.109576,24.07931,25.97092,29.38805,5.308737,46.53935,47.96907,52.29515,69.90916,128.948,0.180193,110.5098,123.2646,150.1892,39.6794,515.5875,719.4446,433.4093,631.5775,0.474775,0.649075,0.189837,0.441526,0.723569,0.533732,7.761243,4.113629,8.254345,4.618604,0.202443,0.736016,15.0885,0.920067,16.67402,0.841435,6.1738,2.367361,-5.187776,-2.504273,0.039569,0.893701,1.60483,0.892651,6.29527,0.259781,10.84249,0.709742,28.77162,0.28993,529.8701,0.356199,1385.457,0.165191,-106.4791,-0.855628,1549.782,0.137079,1008.954,0.306795,-112.9229,-0.746948,2533.294,0.076282,891.8259,0.366181,-113.6706,-0.733956,-18.04451,-0.40145,25.55565,0.304021,0.019213,1.460509,-0.010998,-1.496247,0.259548,0.550212,23.55437,0.375926,21.96214,0.61016,7.657423,2.257086,-8.611388,-1.578232,-5.679712,12.72077,0.014047,0.008105,0.149333,6.541513,11.51804,4.897497,-1.817777,5.905906,2.920443,0.16,0.123008,0.162414,0.163658,-20.69387,222,m,E,A,C,NN,O
devel_056,22.70499,0.061123,21.58462,22.48485,23.78872,2.204098,83.76771,64.01731,18.16695,9.173519,102.4132,0.08305,95.67639,100.7952,108.6671,12.99074,496.0516,378.1371,108.598,58.53312,0.478706,0.611329,0.199721,0.432181,0.711694,0.511973,9.268898,5.068877,9.4338,5.334532,0.157502,0.705287,14.79037,0.669441,8.037541,1.325843,-4.949483,-2.446186,-10.28286,-1.282897,0.02807,0.785869,2.167704,0.744356,3.645513,0.357882,-0.106503,-27.30167,16.47318,0.374744,738.1329,0.300288,1377.909,0.25134,-158.5396,-0.481875,1745.114,0.161064,1146.241,0.349524,-160.4068,-0.450835,2609.712,0.087745,1104.801,0.324144,-160.4772,-0.449566,-11.65416,-0.564588,19.4991,0.310029,0.043638,0.366367,-0.020276,-0.884241,0.230584,0.490264,17.88437,0.450046,7.871598,1.670789,-11.47689,-1.275408,-14.56772,-0.946223,-8.75063,16.19813,0.032475,-0.006101,0.13799,13.99738,8.057893,-3.1727,-9.160158,5.005005,2.716298,0.068519,0.043776,0.269286,0.241793,-24.82066,214,m,NE,A,NC,NN,NO
devel_057,27.71999,0.129902,24.40538,27.07705,31.82386,7.418482,139.2776,161.987,49.40834,44.16327,139.4559,0.217464,112.6074,131.4075,172.9084,60.30098,1202.566,1367.938,415.0471,377.9353,0.389262,0.715718,0.114346,0.339851,0.633463,0.519117,7.144598,3.614892,5.663987,3.096145,0.136001,0.866546,12.20921,1.335718,8.065104,1.775361,-3.144185,-4.690409,-13.39254,-0.968927,0.031984,1.381697,1.540952,0.812895,5.559139,0.406924,6.526003,1.369825,24.85996,0.402403,660.2681,0.368638,1375.558,0.206222,-96.33586,-0.978774,1630.226,0.148021,1103.121,0.359004,-101.2797,-0.867989,2579.012,0.098347,949.7199,0.411466,-102.6641,-0.843763,-14.46893,-0.516124,22.64753,0.394579,0.058463,0.459724,-0.0122,-1.695732,0.172418,0.661027,19.92006,0.606871,10.07748,1.355761,-4.698584,-3.609865,-16.64057,-0.755728,-4.348705,11.7346,0.039616,0.008706,0.093429,3.266589,5.99505,-1.094652,-9.644516,5.105105,3.121853,0.161613,0.219105,0.143,0.129824,-25.03843,228,m,E,NA,C,NN,NO
devel_058,28.54435,0.064848,26.59733,28.83396,30.21349,3.616165,140.2854,135.84,25.93195,16.01337,143.847,0.106548,127.8077,145.4329,157.4966,29.68896,1192.751,1122.287,225.023,142.2341,0.639165,0.485888,0.365458,0.579334,0.891467,0.52601,8.634058,4.110829,7.397885,4.116565,0.234096,0.686405,7.687996,1.511676,7.011914,1.514328,-0.461137,-29.54904,-10.62707,-1.203097,0.028027,0.971164,1.584504,0.641216,4.774163,0.445561,5.315969,1.106226,17.75543,0.360079,728.6748,0.279718,1433.644,0.196084,-130.9969,-0.679193,1654.151,0.141524,1292.91,0.271666,-132.3206,-0.640144,2500.307,0.058241,1077.366,0.30733,-132.334,-0.639196,-9.340805,-0.739903,16.32859,0.394279,0.049189,0.339266,-0.009841,-2.059912,0.217462,0.591279,16.41005,0.521957,7.116567,1.466908,2.600441,6.35225,-13.85498,-0.966252,-1.516885,7.399311,0.040922,0.000024,0.246122,2.503176,7.077022,-2.267529,-9.028297,6.006006,2.618329,0.132692,0.104497,0.2388,0.203437,-23.92319,141,m,NE,NA,NC,N,O
devel_059,35.12026,0.226636,28.97456,32.99273,41.39517,12.42062,324.1643,435.4864,244.8018,181.9131,238.6799,0.651809,146.6278,184.9347,300.9666,154.3387,3695.67,4765.09,3405.301,2004.847,0.656994,0.660327,0.219943,0.601317,1.125758,0.905815,12.89822,7.182075,10.81635,5.91384,0.251596,0.766028,-7.572142,-1.542896,4.241298,3.588326,-5.068655,-3.538203,-35.66459,-0.455089,0.052126,1.143916,2.138604,0.654591,1.744464,1.896837,3.339599,3.175825,1.096777,12.17156,955.5494,0.195828,1013.179,0.450451,-139.8259,-0.608996,1957.758,0.100321,1073.858,0.312774,-134.1594,-0.646426,2711.737,0.062151,1126.02,0.270816,-132.2199,-0.674491,0.570473,15.59345,4.564397,1.72807,0.088638,0.23197,-0.00607,-3.465189,0.332809,0.541417,-5.191375,-2.192146,2.724006,5.336466,-14.52148,-1.504349,-34.45427,-0.492594,3.941205,2.048827,0.072776,0.009901,0.213814,-8.762997,5.055165,-0.441609,-36.3393,5.405406,4.225352,0.068571,0.061434,0.166216,0.133545,-22.57788,166,m,E,A,C,NN,NO
devel_060,29.19182,0.110157,26.75075,29.04162,32.36966,5.618912,159.1324,225.0841,40.57322,19.00939,151.0777,0.187835,128.9477,147.1938,178.3972,49.44951,1187.2,1880.687,369.4546,201.2422,0.549251,0.665239,0.208597,0.504452,0.842723,0.634127,9.513371,5.337396,8.96521,5.232126,0.22157,0.861056,5.131929,2.236174,7.509813,1.696132,-2.525426,-4.711633,-21.86889,-0.727509,0.035758,0.893686,1.810451,0.732076,4.972569,0.443859,2.798937,2.992404,18.38192,0.386857,714.1622,0.337297,1482.774,0.220364,-118.8441,-0.781927,1626.518,0.122673,1054.156,0.20665,-120.3857,-0.741922,2586.393,0.067198,943.8739,0.417137,-120.9842,-0.730589,-9.394252,-0.6114,16.76932,0.397792,0.071571,0.324151,-0.011751,-1.291247,0.324037,0.633714,11.14313,0.780539,6.541223,2.278902,-5.584301,-2.307152,-28.5858,-0.565487,-1.715811,7.768773,0.04338,0.006212,0.149335,0.927097,7.960068,-0.407611,-16.8369,5.305305,3.826788,0.098421,0.066274,0.146757,0.134306,-21.89761,151,m,E,NA,NC,N,O
devel_061,29.55577,0.386009,22.25439,24.55792,33.06734,10.81295,509.4304,499.2618,706.535,1151.074,203.994,1.030624,99.45614,113.6034,200.7048,101.2486,6668.906,6236.489,17885.74,27350.35,0.480623,0.60947,0.192101,0.447401,0.7963,0.604199,6.02163,3.279279,6.255395,3.417594,0.229337,0.764387,8.64989,2.060931,-6.07101,-3.230642,-11.93166,-1.762499,-19.54859,-0.898061,0.062072,1.616035,1.657625,0.844781,3.917744,0.764011,-5.969845,-2.788507,15.94377,1.393622,772.1202,0.299818,1379.227,0.301186,-145.9717,-0.619923,1710.234,0.156457,1236.882,0.36514,-143.9402,-0.597991,2636.098,0.086537,975.7656,0.352788,-144.8259,-0.583799,-11.81432,-1.382243,23.53206,0.699774,0.089119,0.303423,-0.01462,-1.802274,0.28452,0.649602,15.07793,1.276693,-1.799546,-10.71096,-19.96074,-0.89822,-24.72682,-0.717315,-4.573735,17.87278,0.075897,0.007343,0.208627,6.184033,-7.748101,-9.233702,-17.45239,4.904905,3.125,0.07871,0.070653,0.227667,0.266292,-22.06758,226,m,NE,A,NC,NN,O
devel_062,34.93319,0.177159,27.61566,35.38327,40.3998,12.78415,217.9971,199.1285,97.17861,75.9278,221.312,0.399879,135.5874,213.1565,284.6344,149.047,2888.139,2892.614,1318.392,1010.963,0.525558,0.624075,0.245086,0.460149,0.791962,0.546877,10.79462,6.970166,7.347515,3.249926,0.231709,0.85189,4.894262,2.690731,-7.916077,-1.866702,-10.12892,-1.315444,-30.25283,-0.512355,0.039057,1.172375,1.701267,0.636273,6.191196,0.506449,7.05294,1.298357,18.08425,0.611481,835.7019,0.234371,1398.405,0.240473,-113.8534,-0.805145,1716.357,0.112898,1255.079,0.27768,-112.4869,-0.781399,2587.442,0.062646,1007.916,0.267084,-113.3657,-0.765146,-9.306368,-0.919764,19.31079,0.525425,0.087422,0.209539,-0.008208,-2.181297,0.310264,0.689265,9.012462,1.224045,-8.884156,-1.710591,-12.59037,-1.131298,-32.10036,-0.496087,-2.67084,10.31851,0.076322,0.00184,0.166015,1.436229,-7.189409,-7.978971,-28.64547,5.105105,4.627767,0.09,0.05718,0.112791,0.105065,-21.99907,167,m,E,NA,C,N,O
devel_063,27.27862,0.076511,25.31127,27.12219,29.21383,3.902559,71.94612,83.88354,19.14304,16.14919,133.9242,0.122989,118.6747,131.7887,148.6573,29.98255,566.033,678.3054,148.9333,130.6187,0.55946,0.471607,0.314166,0.541206,0.807916,0.49375,7.650229,4.167252,5.505586,3.278584,0.199075,0.649108,16.62221,0.747699,11.22316,1.108279,-2.962422,-5.81451,-17.15034,-0.830462,0.020738,0.843486,1.177967,0.888765,5.911772,0.359588,6.822,1.065695,21.64697,0.361874,572.4069,0.324829,1436.63,0.165962,-98.27266,-0.950869,1554.669,0.151745,1099.344,0.315871,-103.5726,-0.848011,2497.592,0.070242,938.2673,0.34123,-104.0034,-0.83916,-14.18044,-0.432196,20.47742,0.371185,0.037479,0.616736,-0.02076,-0.891629,0.225905,0.552905,20.49364,0.404085,13.42059,1.041673,-4.131921,-4.709431,-20.36311,-0.712446,-8.073586,15.30659,0.029109,-0.009181,0.172307,12.41994,8.988963,-1.640488,-13.58678,4.804805,3.018109,0.164333,0.119351,0.141936,0.104029,-22.18508,142,m,E,NA,NC,N,O
devel_064,22.13181,0.131232,20.0771,21.53565,24.10958,4.032484,110.665,77.19998,30.69463,23.62931,100.2673,0.190169,87.70069,95.40602,110.7287,23.02804,741.4796,429.9171,220.3479,180.526,0.583743,0.602112,0.275578,0.520944,0.818061,0.542483,8.66269,6.441514,7.860398,6.13541,0.318839,0.843514,20.75147,0.557382,5.291215,2.656949,-7.839092,-1.578263,-18.57584,-0.660622,0.034071,0.87173,1.551368,0.739146,4.07403,0.357754,1.968129,2.774855,28.15331,0.256795,594.5925,0.332397,1482.244,0.195609,-149.748,-0.577546,1563.345,0.191866,1097.086,0.236198,-153.259,-0.522468,2541.662,0.092623,886.8386,0.471991,-154.2476,-0.507344,-19.11112,-0.347295,28.3012,0.253801,0.059365,0.315573,-0.028836,-0.612081,0.453574,0.702818,27.93048,0.302542,7.594418,1.865408,-12.77226,-1.028446,-20.14333,-0.674534,-12.54902,20.2358,0.051853,-0.014974,0.277815,18.57069,4.648262,-6.324838,-18.11609,4.504505,2.313883,0.094348,0.088996,0.317826,0.247104,-18.21259,145,m,NE,A,C,NN,NO
devel_065,27.76558,0.082273,26.30934,27.60946,29.47919,3.169847,64.29897,44.35979,26.47022,24.48821,137.9375,0.13239,125.7053,135.5073,150.9942,25.28888,477.7106,329.3437,214.0913,168.6563,0.525271,0.572359,0.239133,0.492093,0.817344,0.578211,9.471252,5.170431,7.922514,3.435401,0.192604,0.749231,6.253199,2.134874,9.6743,1.37485,-2.837144,-4.068104,-16.93822,-0.874777,0.03652,0.926837,1.751977,0.783119,4.750345,0.447691,6.165,1.079936,18.95455,0.344675,604.2494,0.37074,1442.597,0.177623,-112.8617,-0.832564,1599.07,0.137848,1057.291,0.285094,-114.9317,-0.770399,2511.312,0.064145,991.2914,0.349066,-114.3402,-0.778988,-10.38989,-0.499912,16.49029,0.362697,0.055589,0.386606,-0.01371,-1.071862,0.249617,0.601402,13.69743,0.60876,12.90367,1.062963,-2.481566,-4.917386,-23.95333,-0.547642,-0.270203,6.67122,0.041456,0.00516,0.14707,0.165779,6.921177,-3.12402,-11.01558,5.805806,3.427419,0.121765,0.112681,0.148824,0.158537,-23.65782,181,m,E,NA,C,N,NO
devel_066,31.34969,0.220993,25.04874,29.25234,37.12113,12.07239,299.8932,373.906,105.8585,54.51709,185.0149,0.524152,116.8698,155.5019,234.7196,117.8497,3791.556,4288.764,1208.077,980.1205,0.620386,0.583358,0.262919,0.542807,0.988523,0.725604,8.881689,5.299967,6.061667,2.813063,0.178805,0.737246,-2.614941,-4.229965,-28.63108,-0.431275,-2.037019,-7.771708,-41.81758,-0.436261,0.068781,1.636185,2.287569,0.643488,0.313375,15.51751,0.554163,19.2828,3.517382,2.514409,930.8129,0.127524,1166,0.149132,-94.86903,-1.118171,1817.537,0.070137,1263.147,0.224207,-93.45921,-1.116318,2539.832,0.048477,1052.114,0.22465,-94.25469,-1.097358,-1.593256,-4.384242,9.92869,0.642928,0.120364,0.134499,-0.004752,-4.541491,0.222938,0.645914,3.118434,2.372351,-32.14743,-0.372074,-8.62569,-1.869218,-49.1083,-0.296875,6.619075,5.935009,0.082605,0.020418,0.136186,-8.155937,-25.16532,4.281143,-35.00367,4.304305,3.31992,0.137273,0.105379,0.148125,0.124686,-23.16726,223,m,NE,NA,NC,NN,NO
devel_067,29.1763,0.12385,25.91256,29.20523,32.66899,6.756432,185.2957,336.6401,60.05839,95.15274,151.5322,0.201908,122.851,148.594,181.4971,58.64609,1523.518,2710.931,552.1584,864.5977,0.547804,0.568132,0.217514,0.563139,0.839634,0.62212,9.409127,4.92796,7.91248,3.532743,0.204262,0.666307,6.064346,1.952383,6.095029,2.559538,-2.499361,-5.421604,-12.03343,-1.253336,0.034339,0.997854,1.992771,0.721686,4.408192,0.495122,4.863669,2.013051,16.74229,0.482598,821.0928,0.235652,1448.92,0.200395,-153.8491,-0.502233,1662.937,0.110003,1266.563,0.302845,-154.3133,-0.484959,2561.45,0.063249,966.7524,0.285747,-154.0959,-0.487234,-8.588842,-0.757989,16.23576,0.486288,0.058087,0.349479,-0.012021,-1.23484,0.268545,0.477445,12.09713,0.831779,3.581993,4.080629,-10.19375,-1.637194,-15.97452,-0.872837,-3.600774,10.94662,0.034232,0.00341,0.185266,4.16479,6.863447,-0.022443,-10.67705,6.806807,3.521127,0.059714,0.034099,0.204286,0.151305,-24.74669,151,m,E,NA,C,N,O
